"Unicode","Symbol","Category","Unicode name","ru","en","pl","fr","de","es","pt","it","ro","he","ar","tr","vi","nl","Missing localized names"
"U+1F469 U+1F3FD U+200D U+1F91D U+200D U+1F469 U+1F3FC","👩🏽‍🤝‍👩🏼","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FD U+200D U+1F91D U+200D U+1F469 U+1F3FE","👩🏽‍🤝‍👩🏾","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FD U+200D U+1F91D U+200D U+1F469 U+1F3FF","👩🏽‍🤝‍👩🏿","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FD U+200D U+1F9AF","👩🏽‍🦯","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FD U+200D U+1F9AF U+200D U+27A1","👩🏽‍🦯‍➡","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FD U+200D U+1F9B0","👩🏽‍🦰","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FD U+200D U+1F9B1","👩🏽‍🦱","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FD U+200D U+1F9B2","👩🏽‍🦲","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FD U+200D U+1F9B3","👩🏽‍🦳","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FD U+200D U+1F9BC","👩🏽‍🦼","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FD U+200D U+1F9BC U+200D U+27A1","👩🏽‍🦼‍➡","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FD U+200D U+1F9BD","👩🏽‍🦽","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FD U+200D U+1F9BD U+200D U+27A1","👩🏽‍🦽‍➡","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FD U+200D U+1FAEF U+200D U+1F469 U+1F3FB","👩🏽‍🫯‍👩🏻","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FD U+200D U+1FAEF U+200D U+1F469 U+1F3FC","👩🏽‍🫯‍👩🏼","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FD U+200D U+1FAEF U+200D U+1F469 U+1F3FE","👩🏽‍🫯‍👩🏾","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FD U+200D U+1FAEF U+200D U+1F469 U+1F3FF","👩🏽‍🫯‍👩🏿","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE","👩🏾","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE U+200D U+2695","👩🏾‍⚕","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE U+200D U+2696","👩🏾‍⚖","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE U+200D U+2708","👩🏾‍✈","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE U+200D U+2764 U+200D U+1F468 U+1F3FB","👩🏾‍❤‍👨🏻","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE U+200D U+2764 U+200D U+1F468 U+1F3FC","👩🏾‍❤‍👨🏼","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE U+200D U+2764 U+200D U+1F468 U+1F3FD","👩🏾‍❤‍👨🏽","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE U+200D U+2764 U+200D U+1F468 U+1F3FE","👩🏾‍❤‍👨🏾","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE U+200D U+2764 U+200D U+1F468 U+1F3FF","👩🏾‍❤‍👨🏿","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE U+200D U+2764 U+200D U+1F469 U+1F3FB","👩🏾‍❤‍👩🏻","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE U+200D U+2764 U+200D U+1F469 U+1F3FC","👩🏾‍❤‍👩🏼","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE U+200D U+2764 U+200D U+1F469 U+1F3FD","👩🏾‍❤‍👩🏽","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE U+200D U+2764 U+200D U+1F469 U+1F3FE","👩🏾‍❤‍👩🏾","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE U+200D U+2764 U+200D U+1F469 U+1F3FF","👩🏾‍❤‍👩🏿","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE U+200D U+2764 U+200D U+1F48B U+200D U+1F468 U+1F3FB","👩🏾‍❤‍💋‍👨🏻","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE U+200D U+2764 U+200D U+1F48B U+200D U+1F468 U+1F3FC","👩🏾‍❤‍💋‍👨🏼","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE U+200D U+2764 U+200D U+1F48B U+200D U+1F468 U+1F3FD","👩🏾‍❤‍💋‍👨🏽","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE U+200D U+2764 U+200D U+1F48B U+200D U+1F468 U+1F3FE","👩🏾‍❤‍💋‍👨🏾","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE U+200D U+2764 U+200D U+1F48B U+200D U+1F468 U+1F3FF","👩🏾‍❤‍💋‍👨🏿","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE U+200D U+2764 U+200D U+1F48B U+200D U+1F469 U+1F3FB","👩🏾‍❤‍💋‍👩🏻","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE U+200D U+2764 U+200D U+1F48B U+200D U+1F469 U+1F3FC","👩🏾‍❤‍💋‍👩🏼","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE U+200D U+2764 U+200D U+1F48B U+200D U+1F469 U+1F3FD","👩🏾‍❤‍💋‍👩🏽","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE U+200D U+2764 U+200D U+1F48B U+200D U+1F469 U+1F3FE","👩🏾‍❤‍💋‍👩🏾","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE U+200D U+2764 U+200D U+1F48B U+200D U+1F469 U+1F3FF","👩🏾‍❤‍💋‍👩🏿","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE U+200D U+1F33E","👩🏾‍🌾","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE U+200D U+1F373","👩🏾‍🍳","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE U+200D U+1F37C","👩🏾‍🍼","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE U+200D U+1F393","👩🏾‍🎓","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE U+200D U+1F3A4","👩🏾‍🎤","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE U+200D U+1F3A8","👩🏾‍🎨","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE U+200D U+1F3EB","👩🏾‍🏫","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE U+200D U+1F3ED","👩🏾‍🏭","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE U+200D U+1F430 U+200D U+1F469 U+1F3FB","👩🏾‍🐰‍👩🏻","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE U+200D U+1F430 U+200D U+1F469 U+1F3FC","👩🏾‍🐰‍👩🏼","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE U+200D U+1F430 U+200D U+1F469 U+1F3FD","👩🏾‍🐰‍👩🏽","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE U+200D U+1F430 U+200D U+1F469 U+1F3FF","👩🏾‍🐰‍👩🏿","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE U+200D U+1F4BB","👩🏾‍💻","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE U+200D U+1F4BC","👩🏾‍💼","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE U+200D U+1F527","👩🏾‍🔧","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE U+200D U+1F52C","👩🏾‍🔬","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE U+200D U+1F680","👩🏾‍🚀","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE U+200D U+1F692","👩🏾‍🚒","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE U+200D U+1F91D U+200D U+1F468 U+1F3FB","👩🏾‍🤝‍👨🏻","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE U+200D U+1F91D U+200D U+1F468 U+1F3FC","👩🏾‍🤝‍👨🏼","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE U+200D U+1F91D U+200D U+1F468 U+1F3FD","👩🏾‍🤝‍👨🏽","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE U+200D U+1F91D U+200D U+1F468 U+1F3FF","👩🏾‍🤝‍👨🏿","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE U+200D U+1F91D U+200D U+1F469 U+1F3FB","👩🏾‍🤝‍👩🏻","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE U+200D U+1F91D U+200D U+1F469 U+1F3FC","👩🏾‍🤝‍👩🏼","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE U+200D U+1F91D U+200D U+1F469 U+1F3FD","👩🏾‍🤝‍👩🏽","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE U+200D U+1F91D U+200D U+1F469 U+1F3FF","👩🏾‍🤝‍👩🏿","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE U+200D U+1F9AF","👩🏾‍🦯","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE U+200D U+1F9AF U+200D U+27A1","👩🏾‍🦯‍➡","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE U+200D U+1F9B0","👩🏾‍🦰","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE U+200D U+1F9B1","👩🏾‍🦱","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE U+200D U+1F9B2","👩🏾‍🦲","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE U+200D U+1F9B3","👩🏾‍🦳","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE U+200D U+1F9BC","👩🏾‍🦼","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE U+200D U+1F9BC U+200D U+27A1","👩🏾‍🦼‍➡","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE U+200D U+1F9BD","👩🏾‍🦽","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE U+200D U+1F9BD U+200D U+27A1","👩🏾‍🦽‍➡","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE U+200D U+1FAEF U+200D U+1F469 U+1F3FB","👩🏾‍🫯‍👩🏻","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE U+200D U+1FAEF U+200D U+1F469 U+1F3FC","👩🏾‍🫯‍👩🏼","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE U+200D U+1FAEF U+200D U+1F469 U+1F3FD","👩🏾‍🫯‍👩🏽","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FE U+200D U+1FAEF U+200D U+1F469 U+1F3FF","👩🏾‍🫯‍👩🏿","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FF","👩🏿","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FF U+200D U+2695","👩🏿‍⚕","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FF U+200D U+2696","👩🏿‍⚖","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FF U+200D U+2708","👩🏿‍✈","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FF U+200D U+2764 U+200D U+1F468 U+1F3FB","👩🏿‍❤‍👨🏻","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FF U+200D U+2764 U+200D U+1F468 U+1F3FC","👩🏿‍❤‍👨🏼","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FF U+200D U+2764 U+200D U+1F468 U+1F3FD","👩🏿‍❤‍👨🏽","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FF U+200D U+2764 U+200D U+1F468 U+1F3FE","👩🏿‍❤‍👨🏾","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FF U+200D U+2764 U+200D U+1F468 U+1F3FF","👩🏿‍❤‍👨🏿","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FF U+200D U+2764 U+200D U+1F469 U+1F3FB","👩🏿‍❤‍👩🏻","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FF U+200D U+2764 U+200D U+1F469 U+1F3FC","👩🏿‍❤‍👩🏼","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FF U+200D U+2764 U+200D U+1F469 U+1F3FD","👩🏿‍❤‍👩🏽","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FF U+200D U+2764 U+200D U+1F469 U+1F3FE","👩🏿‍❤‍👩🏾","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FF U+200D U+2764 U+200D U+1F469 U+1F3FF","👩🏿‍❤‍👩🏿","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FF U+200D U+2764 U+200D U+1F48B U+200D U+1F468 U+1F3FB","👩🏿‍❤‍💋‍👨🏻","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FF U+200D U+2764 U+200D U+1F48B U+200D U+1F468 U+1F3FC","👩🏿‍❤‍💋‍👨🏼","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FF U+200D U+2764 U+200D U+1F48B U+200D U+1F468 U+1F3FD","👩🏿‍❤‍💋‍👨🏽","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FF U+200D U+2764 U+200D U+1F48B U+200D U+1F468 U+1F3FE","👩🏿‍❤‍💋‍👨🏾","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FF U+200D U+2764 U+200D U+1F48B U+200D U+1F468 U+1F3FF","👩🏿‍❤‍💋‍👨🏿","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FF U+200D U+2764 U+200D U+1F48B U+200D U+1F469 U+1F3FB","👩🏿‍❤‍💋‍👩🏻","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FF U+200D U+2764 U+200D U+1F48B U+200D U+1F469 U+1F3FC","👩🏿‍❤‍💋‍👩🏼","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FF U+200D U+2764 U+200D U+1F48B U+200D U+1F469 U+1F3FD","👩🏿‍❤‍💋‍👩🏽","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FF U+200D U+2764 U+200D U+1F48B U+200D U+1F469 U+1F3FE","👩🏿‍❤‍💋‍👩🏾","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FF U+200D U+2764 U+200D U+1F48B U+200D U+1F469 U+1F3FF","👩🏿‍❤‍💋‍👩🏿","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FF U+200D U+1F33E","👩🏿‍🌾","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FF U+200D U+1F373","👩🏿‍🍳","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FF U+200D U+1F37C","👩🏿‍🍼","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+1F469 U+1F3FF U+200D U+1F393","👩🏿‍🎓","other","","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
