"Unicode","Symbol","Category","Unicode name","ru","en","pl","fr","de","es","pt","it","ro","he","ar","tr","vi","nl","Missing localized names"
"U+2079","⁹","math","superscript nine","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+207A","⁺","math","superscript plus sign","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+207B","⁻","math","superscript minus","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR","CLDR",""
"U+207C","⁼","math","superscript equals sign","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+2080","₀","math","subscript zero","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+2081","₁","math","subscript one","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+2082","₂","math","subscript two","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+2083","₃","math","subscript three","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+2084","₄","math","subscript four","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+2085","₅","math","subscript five","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+2086","₆","math","subscript six","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+2087","₇","math","subscript seven","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+2088","₈","math","subscript eight","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+2089","₉","math","subscript nine","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+208A","₊","math","subscript plus sign","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+208B","₋","math","subscript minus","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+208C","₌","math","subscript equals sign","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+2118","℘","math","script capital p","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+2140","⅀","math","double-struck n-ary summation","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+2141","⅁","math","turned sans-serif capital g","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+2142","⅂","math","turned sans-serif capital l","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+2143","⅃","math","reversed sans-serif capital l","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+2144","⅄","math","turned sans-serif capital y","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+214B","⅋","math","turned ampersand","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+2150","⅐","math","vulgar fraction one seventh","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+2151","⅑","math","vulgar fraction one ninth","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+2152","⅒","math","vulgar fraction one tenth","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+2153","⅓","math","vulgar fraction one third","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+2154","⅔","math","vulgar fraction two thirds","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+2155","⅕","math","vulgar fraction one fifth","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+2156","⅖","math","vulgar fraction two fifths","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+2157","⅗","math","vulgar fraction three fifths","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+2158","⅘","math","vulgar fraction four fifths","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+2159","⅙","math","vulgar fraction one sixth","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+215A","⅚","math","vulgar fraction five sixths","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+215B","⅛","math","vulgar fraction one eighth","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+215C","⅜","math","vulgar fraction three eighths","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+215D","⅝","math","vulgar fraction five eighths","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+215E","⅞","math","vulgar fraction seven eighths","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+215F","⅟","math","fraction numerator one","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+2160","Ⅰ","math","roman numeral one","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+2161","Ⅱ","math","roman numeral two","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+2162","Ⅲ","math","roman numeral three","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+2163","Ⅳ","math","roman numeral four","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+2164","Ⅴ","math","roman numeral five","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
"U+2165","Ⅵ","math","roman numeral six","MISSING","Unicode","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","ru pl fr de es pt it ro he ar tr vi nl"
